# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
ABB	Among weaves, yarn for the warp	definition	3
AFT	Near or towards the stern of a vessel	definition	53
AGA	In Turkey, a commander or chief officer	proper	1
AHU	The Asiatic gazelle	proper	3
AIL	To affect with pain or uneasiness, either physical or mental	definition	2
ALA	A winglike organ, or part	definition	1
ALB	A vestment of white linen, reaching to the feet, an enveloping the person	definition	3
ALP	A very high mountain	proper	2
ALT	The higher part of the scale	definition	4
ARM	The limb of the human body which extends from the shoulder to the hand	definition	209
ART	The second person singular, indicative mode, present tense, of the substantive verb Be	proper	1122
ASA	An ancient name of a gum	definition	2
ATE	The preterit of Eat	proper	32
AUK	A name given to various species of arctic sea birds of the family Alcidæ	proper	15
AWL	A pointed instrument for piercing small holes, as in leather or wood	definition	21
BAC	A broad, flatbottomed ferryboat, usually worked by a rope	definition	2
BAH	An exclamation expressive of extreme contempt	definition	3
BAN	A public proclamation or edict	definition	9
BED	An article of furniture to sleep or take rest in or on	definition	291
BEG	A title of honor in Turkey and in some other parts of the East	proper	52
BEL	The Babylonian name of the god known among the Hebrews as Baal	proper	6
BEY	A governor of a province or district in the Turkish dominions	proper	5
BOM	A large American serpent, so called from the sound it makes	proper	2
BOW	To cause to deviate from straightness	definition	218
BOX	A tree or shrub, flourishing in different parts of the world	definition	293
BOY	A male child, from birth to the age of puberty	definition	167
CAB	A kind of close carriage with two or four wheels, usually a public vehicle	definition	6
CAD	A person who stands at the door of an omnibus to open and shut it, and to receive fares	definition	2
CAL	Wolfram, an ore of tungsten	definition	31
CAW	To cry like a crow, rook, or raven	definition	2
CID	Chief or commander	definition	5
COO	To make a low repeated cry or sound, like the characteristic note of pigeons or doves	definition	4
COR	A Hebrew measure of capacity	proper	169
CUB	A young animal, esp	definition	5
CUP	A small vessel, used commonly to drink from	definition	176
CUR	A mongrel or inferior dog	definition	21
DAL	Split pulse, esp	definition	10
DAM	A female parent	definition	42
DAY	The time of light, or interval between one night and the next	definition	942
DIE	To pass from an animate to a lifeless state	proper	218
DIM	Not bright or distinct	definition	62
DIN	Loud, confused, harsh noise	definition	15
DOD	To cut off, as wool from sheep's tails	definition	1
DOT	A marriage portion	definition	18
DRY	Free from moisture	definition	342
DUE	Owed, as a debt	definition	521
DUG	A teat, pap, or nipple	definition	27
DUN	A mound or small hill	definition	16
DUO	A composition for two performers	definition	1
EAN	To bring forth, as young	definition	1
EAT	To chew and swallow as food	definition	153
EBB	The European bunting	proper	19
EEL	An elongated fish of many genera and species	definition	56
EEN	The old plural of Eye	proper	1
EGG	The oval or roundish body laid by domestic poultry and other birds, tortoises, etc	definition	150
ELF	An imaginary supernatural being, commonly a little sprite, much like a fairy	definition	22
ELK	A large deer, of several species	definition	12
ELL	A measure for cloth	definition	11
EON	An immeasurable or infinite space of time	definition	1
ERA	A fixed point of time, usually an epoch, from which a series of years is reckoned	definition	43
ERG	The unit of work or energy in the C	proper	3
EWE	The female of the sheep, and of sheeplike animals	definition	10
FAC	A large ornamental letter used, esp	definition	6
FAR	A young pig, or a litter of pigs	definition	410
FEU	A free and gratuitous right to lands made to one for service to be performed by him	definition	1
FEZ	A felt or cloth cap, usually red and having a tassel	definition	1
FIE	An exclamation denoting contempt or dislike	definition	7
FOB	A little pocket for a watch	definition	1
FOH	An exclamation of abhorrence or contempt	definition	3
GAG	To stop the mouth of, by thrusting sometimes in, so as to hinder speaking	definition	2
GAM	A herd, or school, of whales	definition	3
GAP	An opening in anything made by breaking or parting	definition	27
GAS	An aëriform fluid	definition	267
GED	The European pike	proper	7
GID	A disease of sheep, characterized by vertigo	definition	4
GUM	The dense tissues which invest the teeth, and cover the adjacent parts of the jaws	definition	123
GUN	A weapon which throws or propels a missile to a distance	definition	282
GUT	A narrow passage of water	definition	15
GUY	A rope, chain, or rod attached to anything to steady it	definition	7
GYP	A college servant	definition	3
HEN	The female of the domestic fowl	definition	83
HOB	The hub of a wheel	definition	6
HOG	A quadruped of the genus Sus, and allied genera of Suidæ	proper	67
HOP	To move by successive leaps, as toads do	definition	30
HUE	Color or shade of color	definition	58
HUM	To make a low, prolonged sound, like that of a bee in flight	definition	12
HUT	A small house, hivel, or cabin	definition	32
ICY	Pertaining to, resembling, or abounding in, ice	definition	11
INK	The step, or socket, in which the lower end of a millstone spindle runs	definition	93
ISM	A doctrine or theory	definition	15
JAM	A kind of frock for children	definition	5
JAN	One of intermediate order between angels and men	definition	10
JEW	Originally, one belonging to the tribe or kingdom of Judah	proper	29
JOG	To push or shake with the elbow or hand	definition	10
JOY	The passion or emotion excited by the acquisition or expectation of good	definition	192
KEG	A small cask or barrel	definition	2
KEY	An instrument by means of which the bolt of a lock is shot or drawn	definition	129
KIN	A diminutive suffix	definition	27
KIP	The hide of a young or small beef creature, or leather made from it	definition	1
KOB	Any one of several species of African antelopes of the genus Kobus, esp	proper	1
LAC	One hundred thousand	definition	14
LAD	Of Lead, to guide Chaucer	proper	21
LAP	The loose part of a coat	definition	40
LAR	A tutelary deity	definition	24
LAX	Not tense, firm, or rigid	definition	19
LAY	Of Lie, to recline	proper	414
LEA	A measure of yarn	definition	7
LEO	The Lion, the fifth sign of the zodiac, marked thus 2	proper	15
LIT	A form of the imp	definition	72
LOB	A dull, heavy person	definition	5
LOG	A Hebrew measure of liquids, containing 2.37 gills	proper	114
LOO	An old game played with five, or three, cards dealt to each player from a full pack	proper	6
MAC	A prefix, in names of Scotch origin, signifying son	proper	6
MHO	A unit of conductivity, being the reciprocal of the ohm	definition	1
MIR	A Russian village community	proper	24
MUD	Earth and water mixed so as to be soft and adhesive	definition	110
MUG	A kind of earthen or metal drinking cup, with a handle	definition	4
MUS	A genus of small rodents, including the common mouse and rat	definition	487
MYA	A genus of bivalve mollusks, including the common long, or soft-shelled, clam	definition	8
NAP	To have a short sleep	definition	50
NIP	A sip or small draught	definition	7
NIT	The egg of a louse or other small insect	definition	2
NIX	One of a class of water spirits, commonly described as of a mischievous disposition	definition	1
NOD	To bend or incline the upper part, with a quick motion	definition	15
OAF	Originally, an elf's child	definition	3
OAK	Any tree or shrub of the genus Quercus	proper	127
ODD	Not paired with another, or remaining over after a pairing	definition	77
ODE	A short poetical composition proper to be set to music or sung	crosswordese	20
ODS	A corruption of God's	proper	2
OWL	Any cpecies of raptorial birds of the family Strigidæ	proper	82
PAC	A kind of moccasin, having the edges of the sole turned up and sewed to the upper	definition	1
PAH	An exclamation expressing disgust or contempt	definition	2
PAT	To strike gently with the fingers or hand	definition	17
PAW	The foot of a quadruped having claws, as the lion, dog, cat, etc	definition	11
PAX	The kiss of peace	definition	2
PEA	The sliding weight on a steelyard	definition	44
PES	The distal segment of the hind limb of vertebrates, including the tarsus and foot	definition	10
PIC	A Turkish cloth measure, varying from 18 to 28 inches	proper	3
POH	An exclamation expressing contempt or disgust	definition	1
PRO	A Latin preposition signifying for, before, forth	proper	39
PUG	To mix and stir when wet, as clay for bricks, pottery, etc	definition	11
PUR	To utter a low, murmuring, continued sound, as a cat does when pleased	definition	7
PUS	The yellowish white opaque creamy matter produced by the process of suppuration	definition	43
PYX	The box, case, vase, or tabernacle, in which the host is reserved	definition	7
RAB	A rod or stick used by masons in mixing hair with mortar	definition	1
RAM	The male of the sheep and allied animals	definition	33
RAP	A lay or skein containing 120 yards of yarn	definition	18
REI	A portuguese money of account, in value about one tenth of a cent	definition	1
RIP	A wicker fish basket	definition	12
ROC	A monstrous bird of Arabian mythology	crosswordese	3
ROD	A straight and slender stick	definition	235
RUT	Sexual desire or oestrus of deer, cattle, and various other mammals	definition	8
SAX	A kind of chopping instrument for trimming the edges of roofing slates	definition	5
SEX	The distinguishing peculiarity of male or female in both animals and plants	definition	88
SHY	Easily frightened	definition	23
SIX	One more than five	definition	354
SPA	A spring or mineral water	definition	3
SPY	To gain sight of	definition	22
TAB	The flap or latchet of a shoe fastened with a string or a buckle	definition	1
TAP	To strike with a slight or gentle blow	definition	25
TAT	Gunny cloth made from the fiber of the Corchorus olitorius, or jute	proper	7
TAU	The common American toadfish	proper	5
TED	To spread, or turn from the swath, and scatter for drying, as new-mowed grass	definition	7
TEE	The mark aimed at in curling and in quoits	definition	2
TEN	One more than nine	definition	356
THY	Of thee, or belonging to thee	definition	882
TIC	A local and habitual convulsive motion of certain muscles	definition	123
TIG	A game among children	definition	4
TIP	The point or extremity of anything	definition	71
TOE	One of the terminal members, or digits, of the foot of a man or an animal	definition	52
TUE	The parson bird	definition	1
UVA	A small pulpy or juicy fruit containing several seeds and having a thin skin, as a grape	definition	2
VAN	The front of an army	definition	34
VOE	An inlet, bay, or creek	definition	1
VOW	A solemn promise made to God, or to some deity	proper	55
WAG	To move one way and the other with quick turns	definition	12
WAX	To increase in size	definition	131
WEN	An indolent, encysted tumor of the skin	definition	4
WET	Containing, or consisting of, water or other liquid	definition	193
WOO	To solicit in love	definition	13
YAM	A large, esculent, farinaceous tuber of various climbing plants of the genus Dioscorea	proper	4
YEN	The unit of value and account in Japan	proper	1
ABED	In bed, or on the bed	definition	4
ABIB	The first month of the Jewish ecclesiastical year, corresponding nearly to our April	proper	2
ABLY	In an able manner	definition	3
ACID	Sour, sharp, or biting to the taste	definition	1328
ACME	The top or highest point	definition	9
ACNE	A pustular affection of the skin, due to changes in the sebaceous glands	definition	2
ADAM	The name given in the Bible to the first man, the progenitor of the human race	proper	69
ADAR	The twelfth month of the Hebrew ecclesiastical year, and the sixth of the civil	proper	1
ADRY	In a dry or thirsty condition	definition	1
AFAR	At, to, or from a great distance	definition	15
AGOG	In eager desire	definition	1
AHEM	An exclamation to call one's attention	definition	1
AHOY	A term used in hailing	definition	1
AJAR	Slightly turned or opened	definition	2
AKIN	Of the same kin	definition	41
ALAS	An exclamation expressive of sorrow, pity, or apprehension of evil	definition	26
ALEE	On or toward the lee, or the side away from the wind	crosswordese	9
ALGA	A kind of seaweed	definition	13
ALME	An Egyptian dancing girl	proper	2
ALMS	Anything given gratuitously to relieve the poor, as money, food, or clothing	definition	39
ALTO	Formerly the part sung by the highest male, or counter-tenor, voices	definition	21
AMBO	A large pulpit or reading desk, in the early Christian churches	proper	1
AMEN	An expression used at the end of prayers, and meaning, So be it	proper	12
AMIA	A genus of fresh-water ganoid fishes, exclusively confined to North America	proper	4
AMIC	Related to, or derived, ammonia	definition	1
ANAL	Pertaining to, or situated near, the anus	definition	25
ANNA	An East Indian money of account, the sixteenth of a rupee, or about 2	proper	3
ANTI	A prefix meaning against, opposite or opposed to, contrary, or in place of	definition	8
ANUS	The posterior opening of the alimentary canal, through which the excrements are expelled	definition	16
APEX	The tip, top, point, or angular summit of anything	definition	54
APUS	A genus of fresh-water phyllopod crustaceans	definition	3
ARCH	Any part of a curved line	definition	728
ARIA	An air or song	crosswordese	9
ARID	Exhausted of moisture	definition	12
ARMS	Instruments or weapons of offense or defense	definition	452
ARMY	A collection or body of men armed for war, esp	definition	367
AROW	In a row, line, or rank	definition	2
ASHY	Pertaining to, or composed of, ashes	definition	10
AVES	The class of Vertebrata that includes the birds	proper	27
AVID	Longing eagerly for	definition	2
AWRY	Turned or twisted toward one side	definition	13
AXLE	The pin or spindle on which a wheel revolves, or which revolves with a wheel	definition	63
BAAL	The supreme male divinity of the Phoenician and Canaanitish nations	proper	10
BABY	An infant or young child of either sex	definition	22
BACK	A large shallow vat	definition	945
BADE	A form of the pat tense of Bid	proper	7
BAIT	Any substance, esp	definition	52
BALK	A ridge of land left unplowed between furrows, or at the end of a field	definition	18
BALL	Any round or roundish body or mass	definition	319
BANG	To beat, as with a club or cudgel	definition	7
BARE	Without clothes or covering	definition	108
BASK	To lie in warmth	definition	2
